Source Port,Destination Port,NAT Source Port,NAT Destination Port,Action,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received
57222,53,54587,53,allow,177,94,83,2,30,1,1
43676,80,45378,80,allow,696,378,318,12,35,7,5
55597,53,45448,53,allow,168,86,82,2,30,1,1
50281,53,33175,53,allow,195,102,93,2,30,1,1
57222,53,51448,53,allow,177,94,83,2,30,1,1
56710,53,57885,53,allow,177,94,83,2,30,1,1
50172,53,37056,53,allow,211,78,133,2,30,1,1
38802,53,38802,53,allow,216,90,126,2,30,1,1
50281,53,8038,53,allow,195,102,93,2,30,1,1
38551,53,14191,53,allow,168,78,90,2,30,1,1
64787,53,29856,53,allow,728,102,626,2,30,1,1
38641,443,31615,443,allow,318,192,126,6,14,4,2
54996,53,2476,53,allow,168,86,82,2,31,1,1
48066,443,56844,443,allow,62,62,0,1,4,1,0
50000,53,16568,53,allow,502,115,387,4,52,2,2
55234,53,5157,53,allow,177,94,83,2,29,1,1
65401,53,57745,53,allow,235,102,133,2,29,1,1
51737,53,3505,53,allow,231,78,153,2,30,1,1
54557,80,41721,80,allow,2091,799,1292,10,15,6,4
64223,53,57211,53,allow,199,94,105,2,30,1,1
49245,53,34102,53,allow,376,126,250,2,29,1,1
64399,53,50659,53,allow,230,110,120,2,29,1,1
55234,53,22160,53,allow,177,94,83,2,30,1,1
64593,53,56394,53,allow,94,94,0,1,30,1,0
56911,53,36658,53,allow,177,94,83,2,31,1,1
65004,53,23515,53,allow,323,94,229,2,30,1,1
56911,53,39355,53,allow,177,94,83,2,30,1,1
58306,443,59387,443,allow,864,436,428,13,29,7,6
42412,443,55628,443,allow,204,70,134,4,26,2,2
56710,53,52813,53,allow,177,94,83,2,30,1,1
50016,53,14072,53,allow,766,103,663,4,41,2,2
58307,443,36806,443,allow,934,506,428,14,29,8,6
55182,53,36739,53,allow,293,94,199,2,30,1,1
56911,53,31733,53,allow,177,94,83,2,30,1,1
45317,53,22055,53,allow,86,86,0,1,30,1,0
56704,53,2427,53,allow,318,94,224,2,30,1,1
49410,53,62890,53,allow,177,94,83,2,30,1,1
56504,53,45710,53,allow,102,102,0,1,30,1,0
38082,443,14308,443,allow,284,164,120,4,15,2,2
55476,53,58894,53,allow,232,110,122,2,30,1,1
49395,53,40831,53,allow,390,111,279,4,53,2,2
56172,53,35826,53,allow,253,87,166,4,30,2,2
