model,dataset,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,inference_time_ms,model_size_mb,f1_class_1,recall_class_1,precision_class_1,f1_class_2,recall_class_2,precision_class_2,mean_security_recall,security_f1,threat_detection_rate,f1_minority_mean,recall_minority_mean,security_score
svm,original,0.9979729729729729,0.9664039116175659,0.9978917089751647,0.9925267799692329,0.9443499354188325,0,0,0.9016393442622951,0.8333333333333334,0.9821428571428571,0.9978559176672385,1.0,0.9957210098416773,0.9166666666666667,0.9514290514296411,0.9995821145006268,0.9497476309647668,0.9166666666666667,0.9464821419526988
knn,original,0.9984797297297298,0.9754048830933897,0.9984380500646537,0.99325605909294,0.9595014505703476,0,0,0.928,0.8787878787878788,0.9830508474576272,0.9984981763570049,1.0,0.9970008568980291,0.9393939393939394,0.9640455484302008,0.9995821145006268,0.9632490881785025,0.9393939393939394,0.9609736339291022
logistic_regression,original,0.9979729729729729,0.9664039116175659,0.9978917089751647,0.9925267799692329,0.9443499354188325,0,0,0.9016393442622951,0.8333333333333334,0.9821428571428571,0.9978559176672385,1.0,0.9957210098416773,0.9166666666666667,0.9514290514296411,0.9995821145006268,0.9497476309647668,0.9166666666666667,0.9464821419526988
random_forest,original,0.9971283783783784,0.9574432549686341,0.9971796058050426,0.9474958518509536,0.9681700011383395,0,0,0.8759124087591241,0.9090909090909091,0.8450704225352113,0.9965591397849463,0.9957026214009455,0.9974171330176496,0.9523967652459273,0.9365612764325565,1.0,0.9362357742720352,0.9523967652459273,0.955453015807185
svm,undersampled,0.9979729729729729,0.9664039116175659,0.9978917089751647,0.9925267799692329,0.9443499354188325,0,0,0.9016393442622951,0.8333333333333334,0.9821428571428571,0.9978559176672385,1.0,0.9957210098416773,0.9166666666666667,0.9514290514296411,0.9995821145006268,0.9497476309647668,0.9166666666666667,0.9464821419526988
knn,undersampled,0.9984797297297298,0.9754048830933897,0.9984380500646537,0.99325605909294,0.9595014505703476,0,0,0.928,0.8787878787878788,0.9830508474576272,0.9984981763570049,1.0,0.9970008568980291,0.9393939393939394,0.9640455484302008,0.9995821145006268,0.9632490881785025,0.9393939393939394,0.9609736339291022
logistic_regression,undersampled,0.9976351351351351,0.9614618256287706,0.9975605642387606,0.9812377279891269,0.9441609173676087,0,0,0.8870967741935484,0.8333333333333334,0.9482758620689655,0.9978559176672385,1.0,0.9957210098416773,0.9166666666666667,0.9435220255171932,0.9995821145006268,0.9424763459303934,0.9166666666666667,0.9435736279389495
random_forest,undersampled,0.9971283783783784,0.9574432549686341,0.9971796058050426,0.9474958518509536,0.9681700011383395,0,0,0.8759124087591241,0.9090909090909091,0.8450704225352113,0.9965591397849463,0.9957026214009455,0.9974171330176496,0.9523967652459273,0.9365612764325565,1.0,0.9362357742720352,0.9523967652459273,0.955453015807185
svm,oversampled,0.997804054054054,0.9644768153676404,0.9977442706426212,0.9816245174048529,0.9492114224181137,0,0,0.896,0.8484848484848485,0.9491525423728814,0.9978559176672385,1.0,0.9957210098416773,0.9242424242424243,0.9477272893249751,1.0,0.9469279588336192,0.9242424242424243,0.9484681532304176
knn,oversampled,0.9856418918918919,0.8556840249796321,0.9880924691526487,0.8096654267193246,0.9585267501691956,0,0,0.5853658536585366,0.9090909090909091,0.4316546762589928,0.9821116928446771,0.9673399226471853,0.997341603898981,0.9382154158690472,0.8112151838571467,1.0,0.7837387732516068,0.9382154158690472,0.8887816756482616
logistic_regression,oversampled,0.9979729729729729,0.9669327055438712,0.9979093479780375,0.9870794170736626,0.9493059314437255,0,0,0.9032258064516129,0.8484848484848485,0.9655172413793104,0.9978559176672385,1.0,0.9957210098416773,0.9242424242424243,0.9515965013044944,1.0,0.9505408620594257,0.9242424242424243,0.9499133145207401
random_forest,oversampled,0.9641891891891892,0.7713138284883937,0.9741795237582812,0.7409147869674184,0.9402370402444848,0,0,0.3614457831325301,0.9090909090909091,0.22556390977443608,0.9526374859708193,0.9119037387193811,0.9971804511278195,0.910497323905145,0.7315380575794775,1.0,0.6570416345516747,0.910497323905145,0.827015583382728
