model,dataset,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,inference_time_ms,model_size_mb,f1_class_1,recall_class_1,precision_class_1,f1_class_2,recall_class_2,precision_class_2,mean_security_recall,security_f1,threat_detection_rate,f1_minority_mean,recall_minority_mean,security_score
svm,baseline,0.9975269784172662,0.9469124392211633,0.9974099446572556,0.9955846310960874,0.9071593826058112,0,0,0.8938547486033519,0.8163265306122449,0.9876543209876543,0.9979988564894225,1.0,0.9960057061340941,0.9081632653061225,0.9481544898310567,0.9988854834215659,0.9459268025463872,0.9081632653061225,0.941413123825317
knn,baseline,0.9975269784172662,0.9615611784580307,0.9974006493746163,0.9954587952812826,0.9333073417894846,0,0,0.8813559322033898,0.7959183673469388,0.9873417721518988,0.997713632466419,1.0,0.9954376960364985,0.8979591836734694,0.9423643279924153,0.9986068542769574,0.9395347823349044,0.8979591836734694,0.9347189572587411
logistic_regression,baseline,0.997976618705036,0.9681046144099221,0.9979087210416897,0.9930007930995832,0.946015193783051,0,0,0.907103825136612,0.8469387755102041,0.9764705882352941,0.9978562240960411,1.0,0.9957216200798631,0.9234693877551021,0.9537557781201802,0.9997213708553915,0.9524800246163265,0.9234693877551021,0.9503240391196498
random_forest,baseline,0.9966276978417267,0.9549888321132911,0.9967089904765244,0.9383514553639771,0.9730819042211603,0,0,0.8543689320388349,0.8979591836734694,0.8148148148148148,0.9959839357429718,0.9945574334001719,0.9974145360528583,0.9462583085368206,0.9257515013523183,0.9997213708553915,0.9251764338909034,0.9462583085368206,0.948518171142168
svm,undersampling,0.9978642086330936,0.950319119203652,0.9977805067876705,0.9929773770119579,0.914812443830301,0,0,0.907103825136612,0.8469387755102041,0.9764705882352941,0.9979988564894225,1.0,0.9960057061340941,0.9234693877551021,0.9538222125944291,0.9997213708553915,0.9525513408130173,0.9234693877551021,0.9503525655983261
knn,undersampling,0.9976393884892086,0.9619518393173185,0.997527366359369,0.9925686724272799,0.935858362197648,0,0,0.88268156424581,0.8061224489795918,0.9753086419753086,0.9978562240960411,1.0,0.9957216200798631,0.903061224489796,0.942488233177884,0.9988854834215659,0.9402688941709256,0.903061224489796,0.9371091441486019
logistic_regression,undersampling,0.9980890287769785,0.9696131504809893,0.9980303530936006,0.9931164515315937,0.9485662141912141,0,0,0.9130434782608695,0.8571428571428571,0.9767441860465116,0.9978562240960411,1.0,0.9957216200798631,0.9285714285714286,0.9565339662012134,1.0,0.9554498511784553,0.9285714285714286,0.9536085118999535
random_forest,undersampling,0.9966276978417267,0.9549888321132911,0.9967089904765244,0.9383514553639771,0.9730819042211603,0,0,0.8543689320388349,0.8979591836734694,0.8148148148148148,0.9959839357429718,0.9945574334001719,0.9974145360528583,0.9462583085368206,0.9257515013523183,0.9997213708553915,0.9251764338909034,0.9462583085368206,0.948518171142168
svm,oversampling,0.9980890287769785,0.9681639042302264,0.9980209143250568,0.993071823545097,0.946062443830301,0,0,0.907103825136612,0.8469387755102041,0.9764705882352941,0.9979988564894225,1.0,0.9960057061340941,0.9234693877551021,0.9538222125944291,0.9997213708553915,0.9525513408130173,0.9234693877551021,0.9503525655983261
knn,oversampling,0.9980890287769785,0.9694032146285319,0.9980730266791746,0.9808646616541353,0.9585569329636983,0,0,0.9119170984455959,0.8979591836734694,0.9263157894736842,0.9984265484193964,0.9997135491263248,0.9971428571428571,0.9488363663998971,0.9552393374668416,1.0,0.9551718234324962,0.9488363663998971,0.9616032759329574
logistic_regression,oversampling,0.9980890287769785,0.9696131504809893,0.9980303530936006,0.9931164515315937,0.9485662141912141,0,0,0.9130434782608695,0.8571428571428571,0.9767441860465116,0.9978562240960411,1.0,0.9957216200798631,0.9285714285714286,0.9565339662012134,1.0,0.9554498511784553,0.9285714285714286,0.9536085118999535
random_forest,oversampling,0.9917940647482014,0.9246690569720413,0.9926615737693032,0.8947701959262999,0.9724819650188967,0,0,0.7091633466135459,0.9081632653061225,0.5816993464052288,0.9896073903002309,0.9819535949584646,0.9973814372999709,0.9450584301322935,0.8603278054746807,1.0,0.8493853684568884,0.9450584301322935,0.9177775194356728
